ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
3355672,Lüderitz,-26.6481,15.1594,13.04,76,0,9.63,NA,2021-04-30 01:55:18
350203,Rosetta,31.4044,30.4164,19.0,77,0,1.54,EG,2021-04-30 02:05:13
1633419,Padang,-0.9492,100.3543,25.46,87,100,1.25,ID,2021-04-30 02:05:14
1264976,Leh,34.1667,77.5833,3.16,54,14,0.19,IN,2021-04-30 02:05:14
2460954,Araouane,18.9048,-3.5265,32.83,20,100,4.68,ML,2021-04-30 01:57:20
3372472,Vila Franca do Campo,37.7167,-25.4333,12.0,76,20,3.09,PT,2021-04-30 02:05:15
3372760,Praia da Vitória,38.7333,-27.0667,13.71,82,20,2.72,PT,2021-04-30 02:05:15
6167817,Torbay,47.6666,-52.7314,3.0,81,1,3.6,CA,2021-04-30 02:03:19
3462980,Francisco Morato,-23.2817,-46.7453,17.08,77,75,5.14,BR,2021-04-30 02:01:52
110690,Faya,18.3851,42.4509,15.48,77,20,2.06,SA,2021-04-30 02:05:16
5354943,Half Moon Bay,37.4636,-122.4286,13.36,82,1,5.14,US,2021-04-30 02:05:16
889942,Hwange,-18.3693,26.5019,19.06,70,4,0.73,ZW,2021-04-30 02:05:17
2377457,Nouadhibou,20.931,-17.0347,19.0,88,40,5.66,MR,2021-04-30 01:56:28
2000546,Duma,34.7653,108.135,22.0,49,0,4.0,CN,2021-04-30 02:05:17
949683,Thabazimbi,-24.5917,27.4116,17.87,47,98,0.92,ZA,2021-04-30 02:05:18
3571913,Marsh Harbour,26.5412,-77.0636,24.38,75,76,5.86,BS,2021-04-30 02:05:18
3373652,Oistins,13.0667,-59.5333,25.0,61,20,4.63,BB,2021-04-30 02:05:19
2156825,Morwell,-38.2333,146.4,21.45,68,10,0.89,AU,2021-04-30 02:05:19
3877348,Panguipulli,-39.6333,-72.3333,13.0,100,90,1.54,CL,2021-04-30 02:05:19
2317982,Yuli,9.6989,10.2744,28.59,55,48,2.09,NG,2021-04-30 02:05:20
2303611,Esim,4.8699,-2.2405,26.81,80,100,1.97,GH,2021-04-30 01:55:33
4004293,Ixtapa,20.7,-105.2,25.78,73,1,4.12,MX,2021-04-30 01:57:28
3372707,Ribeira Grande,38.5167,-28.7,14.26,64,100,3.43,PT,2021-04-30 02:05:21
